TARGET,sk_id_curr,SK_ID_CURR,Total_CB,Credit_Closed,Credit_active,Credit_Sold,Credit_BadDebt,How_Many_Currency,Total_Credit_Prolong,CreditType_ConsumerCredit,CreditType_CreditCard,CreditType_Mortgage,CreditType_CarLoan,CreditType_Microloan,CreditType_WorkingCapitalReplenishment,CreditType_BusinessDevelopment,CreditType_RealEstateLoan,CreditType_Other,CreditType_CashLoan,CreditType_PurchaseOfEquipment,CreditType_MobileOperatorLoan,CreditType_InterbankCredit,CreditType_PurchaseOfShares
1,100002,100002,8,6,2,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0
0,100003,100003,4,3,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
0,100004,100004,2,2,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100007,100007,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100008,100008,3,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100009,100009,18,14,4,0,0,1,0,16,2,0,0,0,0,0,0,0,0,0,0,0,0
0,100010,100010,2,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
0,100011,100011,4,4,0,0,0,1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100014,100014,8,6,2,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100015,100015,4,4,0,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100016,100016,7,3,4,0,0,1,0,6,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100017,100017,6,6,0,0,0,1,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100019,100019,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100020,100020,4,2,2,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100022,100022,2,0,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100023,100023,13,9,4,0,0,1,0,9,4,0,0,0,0,0,0,0,0,0,0,0,0
0,100025,100025,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100026,100026,3,1,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0
0,100027,100027,3,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100029,100029,4,3,1,0,0,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0
0,100030,100030,6,4,2,0,0,1,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0
1,100031,100031,7,4,3,0,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0
0,100032,100032,4,3,1,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100033,100033,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100035,100035,9,4,5,0,0,1,0,6,3,0,0,0,0,0,0,0,0,0,0,0,0
0,100036,100036,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100037,100037,8,7,1,0,0,1,0,7,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100039,100039,9,5,3,1,0,1,0,5,2,0,2,0,0,0,0,0,0,0,0,0,0
0,100041,100041,13,12,1,0,0,1,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100043,100043,2,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
0,100044,100044,11,5,6,0,0,1,0,7,4,0,0,0,0,0,0,0,0,0,0,0,0
0,100045,100045,3,2,1,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100046,100046,4,3,1,0,0,1,0,1,1,0,2,0,0,0,0,0,0,0,0,0,0
1,100047,100047,5,2,3,0,0,1,0,3,1,1,0,0,0,0,0,0,0,0,0,0,0
0,100048,100048,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
1,100049,100049,7,2,5,0,0,1,0,3,4,0,0,0,0,0,0,0,0,0,0,0,0
0,100050,100050,3,3,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100053,100053,8,7,1,0,0,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0
0,100054,100054,2,1,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
0,100055,100055,7,3,4,0,0,1,0,5,1,0,1,0,0,0,0,0,0,0,0,0,0
0,100058,100058,4,2,2,0,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0
0,100059,100059,5,4,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,0,0
0,100060,100060,5,5,0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0
